Indeks #;Aktywny (0 lub 1);Nazwa;ID reguły podatku;Cena bez podatku. (netto);Cena zawiera podatek. (brutto);Marka;Opis;Dostępne do zamówienia (0 = Nie, 1 = Tak);W sprzedaży (0 lub 1);Ilość;Adresy URL zdjęcia (x,y,z...);Kategorie (x,y,z...);Przepisany URL
ARE-S-173;1;FILLUP Esencja do alkoholu Mia Theresa Coffe Liquer - 500ml;1;9.35;11.50;Zaprawki do alkoholu esencje STRANDS;Aromatyczny likier kawowo czekoladowy z dodatkiem rumu, receptura z jamajki. Esencja typu FILLUP –oznacza, że w butelce 0,5L mamy już odmierzoną przez producenta ilość esencji a naszym zadaniem jest dopełnić butelkę alkoholem o określonej zawartości %. Zaletą esencji FILLUP jest to, że otrzymujemy już gotową butelkę z firmą etykietką, butelkę którą możemy bez wstydu postawić na stole. Esencje typu FILLUP są tak przygotowane, że nie musimy już dodawać cukru do zrobienia likieru czy półsłodkiej wódki, wszystko jest już dodane przez producenta. Kupując esencje FILLUP, dla większego bezpieczeństwa podczas wysyłki, zalecamy wybierać wysyłkę kurierem! Instrukcja:butelkę z likierem dopełnić wódką 40% (lub % wedle uznania). Wstrząsnąć do całkowitego rozpuszczenia się, odstawić na 24h i gotowe. Dłuższe „przegryzanie” się trunku poprawia jego smak. Esencje sprowadzane są ze Szwecji - producent firma STRANDS. Dają naprawdę znakomite rezultaty, przeważnie nie do rozpoznania dla zwykłego konsumenta. Wykorzystując nasze zaprawki, każdy z nas ma niepowtarzalną okazję spróbowania alkoholi z różnych stron Świata, oszczędzając dużo pieniędzy. Dzięki tym zaprawkom, każdy z nas ma także okazję na zebranie w swoim barku zestawu alkoholi jak w prawdziwym DRINK BARZE! Jeżeli chcesz się dowiedzieć więcej o zaprawkach do alkoholu, jak je mieszać, polecamy do zapoznania się z naszym artykułem: Zaprawki do alkoholu.;1;1;1;https://winohobby.biz/userdata/public/gfx/5815/Zaprawka-do-alkoholu-aromat-Mia-Theresa.jpg|https://winohobby.biz/userdata/public/gfx/691236687d8f32734807dbd982e796d2.jpg;22|3;fillup-esencja-do-alkoholu-mia-theresa-coffe-liquer-500ml
ITA-L-455;1;Filtr BAZOOKA x4;1;107.32;132.00;-;Bazooka wykonana ze sprężyny do ułożenia na dnie fermentatora lub garnka zaciernego. 4 długości sprężyn filtrujących po 22-23cm Końcówka 3/4 cala.;1;1;0;https://winohobby.biz/userdata/public/gfx/458118635dcec31c4e2beb6c6126f6cb.jpg;87|318|3;filtr-bazooka-x4
SPE-D-160;1;Zestaw do wyszynku SPEIDEL 50L;1;1658.54;2040.00;SPEIDEL;Zestaw zawiera:- keg 50L, wąż ssący ze stali nierdzewnej z pompą do piwa i zaworem kulowym ze stali nierdzewnej z kolanem wylotowym, złącze gwintowane z manometrem, zawór bezpieczeństwa, zaślepka do podłączenia zaworu gazowego - pusta butla 2kg na CO2 - wąż do podłączenia CO2 - reduktor do butli CO2 - szczotka do mycia kega Monitoring TÜV dla maksymalnego bezpieczeństwaCiśnienie do 10 barów (beczki z piwem są przeznaczone tylko do ciśnienia do 3 barów) Dzięki tej wszechstronnej beczce możesz tworzyć własne napoje, utrzymywać je świeże przez wiele miesięcy i nalewać codziennie - bez podgrzewania i bez dodawania chemicznych środków konserwujących.Soki owocowe z kega. Dowolny sok z jabłek, gruszek, śliwek czy winogron – im krócej keg pozostanie otwarty po nalaniu, tym krótsza będzie fermentacja soku i tym samym mniejsza zawartość alkoholu. Dzięki ciśnieniu CO2, soki zachowają świeżość przez kilka tygodni. Wyszynk świeżego wina możliwy dla każdego!Wino, piwo, cydr, wino musujące można serwować jak w pubie. Ciśnienie CO2 od 0,5 do 1 bara utrzymuje napój przez wiele miesięcy w czystości i zapewnia ciśnienie niezbędne do nalewania. W przypadku wina dwutlenek węgla sprawia, że nie trzeba siarkować wina. Keg daje możliwość produkcji własnej wody gazowanej, poprzez dodanie CO2. To rozwiązanie dla wszystkich, którzy kochają napoje bezalkoholowe z niewielką ilością dwutlenku węgla i chcą zaoszczędzić dużo pieniędzy. Nie trzeba nosić ciężkich butelek z gazowaną wodą ze sklepu (w wielu przypadkach woda z kranu może być lepsza od niektórych wód butelkowanych).;1;1;3;https://winohobby.biz/userdata/public/gfx/683761f6a38ef3184f1d9bdfef906a04.jpg|https://winohobby.biz/userdata/public/gfx/a41ddb512233dc38aaf6331610f54c1d.jpg;90|94|318|3;zestaw-do-wyszynku-speidel-50l
ARO-D-171;1;Beczka bag in box 5L lakierowana;1;481.71;592.50;-;Beczka dębowa, lakierowana, na podstawie, przystosowana do umieszczania w niej toreb typu bag in box. Beczka może stanowić doskonały wystrój każdego barku czy kuchni.;1;1;7;https://winohobby.biz/userdata/public/gfx/6187/Beczka-debowa-typu-bag-in-box-5l.jpg|https://winohobby.biz/userdata/public/gfx/6185/Beczka-debowa-typu-bag-in-box-5l.jpg;318|148|3;beczka-bag-in-box-5l-lakierowana
ARE-S-182;1;FILLUP Esencja do alkoholu Triple Sec - 500ml;1;9.35;11.50;Zaprawki do alkoholu esencje STRANDS;TripleSec to grupa słodko-gorzkich likierów pomarańczowych. Esencja typu FILLUP –oznacza, że w butelce 0,5L mamy już odmierzoną przez producenta ilość esencji a naszym zadaniem jest dopełnić butelkę alkoholem o określonej zawartości %. Zaletą esencji FILLUP jest to, że otrzymujemy już gotową butelkę z firmą etykietką, butelkę którą możemy bez wstydu postawić na stole. Esencje typu FILLUP są tak przygotowane, że nie musimy już dodawać cukru do zrobienia likieru czy półsłodkiej wódki, wszystko jest już dodane przez producenta. Kupując esencje FILLUP, dla większego bezpieczeństwa podczas wysyłki, zalecamy wybierać wysyłkę kurierem! Instrukcja:butelkę z likierem dopełnić wódką 60% (lub % wedle uznania). Wstrząsnąć do całkowitego rozpuszczenia się, odstawić na 24h i gotowe. Dłuższe „przegryzanie” się trunku poprawia jego smak. Esencje sprowadzane są ze Szwecji - producent firma STRANDS. Dają naprawdę znakomite rezultaty, przeważnie nie do rozpoznania dla zwykłego konsumenta. Wykorzystując nasze zaprawki, każdy z nas ma niepowtarzalną okazję spróbowania alkoholi z różnych stron Świata, oszczędzając dużo pieniędzy. Dzięki tym zaprawkom, każdy z nas ma także okazję na zebranie w swoim barku zestawu alkoholi jak w prawdziwym DRINK BARZE! Jeżeli chcesz się dowiedzieć więcej o zaprawkach do alkoholu, jak je mieszać, polecamy do zapoznania się z naszym artykułem: Zaprawki do alkoholu.;1;1;9;https://winohobby.biz/userdata/public/gfx/5816/Zaprawka-do-alkoholu-aromat-do-wodki-Triple-Sec.jpg|https://winohobby.biz/userdata/public/gfx/ddc7d0362dc9a03e47b4a814ea5dc48e.jpg;22|3;fillup-esencja-do-alkoholu-triple-sec-500ml
XXX-X-684;1;COOPERS 1,7kg - ENGLISH BITTER DATA WAŻNOŚCI 25-08-2025;1;27.64;34.00;Producent;Zamiast cukru polecamy użyć suchych ekstraktów słodowych.Suchy ekstrakt słodowylubekstrakt słodowy w puszce- podnosi walory piwa domowego. Piwo domowe będzie bogatsze w smaku i aromacie.;1;1;1;https://winohobby.biz/userdata/public/gfx/7410/8650c6b2015a2a0166396184e639ab1b.jpg;65|318|3;coopers-1-7kg-english-bitter-data-waznosci-25-08-2025
xxx-x-685;1;Brewkit Mangrove Jack’s – WORKINGMAN'S STOUT – 1,8kg Data 09-2025;1;29.27;36.00;Mangrove Jack's;Nachmielony ekstrakt słodowy do przygotowania 23L domowego piwa. EXPORT STOUT to klasyczne ciemne piwo. W zestawie drożdże suche Mangrove Jacks.Zawiera: glutenProducent: Mangrove Jack's, Nowa Zelandia Do przygotowania 23L domowego piwa należy użyć/dokupić dodatkowego surowca fermentującego wybierając jedną z poniższych opcji (surowce dostępne w ofercie sklepu): 1kg cukru lub glukozy – najtańszy i najsłabszy efekt końcowy piwa1,2kg Mangrove Jack’s enhancer– 100% płynny ekstrakt słodowy, wpływa na pełne odfermentowanie piwa i w znaczący sposób poprawia walory smakowe piwa (słodowy aromat) oraz trwałość pianki piwnej1,2kg lub 1,7kg płynnego ekstraktu słodowegoCOOBRA lub WES;1;1;2;https://winohobby.biz/userdata/public/gfx/7437/5931.jpg;66|317|318|3;brewkit-mangrove-jack-s-workingman-s-stout-1-8kg-data-09-2025
XXX-X-683;1;COOPERS 1,7kg - Bootmaker Pale Ale DATA WAŻNOŚCI 01-09-2025;1;29.27;36.00;-;Zamiast cukru polecamy użyć suchych ekstraktów słodowych.Suchy ekstrakt słodowylubekstrakt słodowy w puszce- podnosi walory piwa domowego. Piwo domowe będzie bogatsze w smaku i aromacie.;1;1;2;https://winohobby.biz/userdata/public/gfx/7409/bc61484fc42ff99aaf8ab7dfe5262131.jpg;65|318|3;coopers-1-7kg-bootmaker-pale-ale-data-waznosci-01-09-2025
SPE-D-151;1;Wąż bezzwrotny SPEIDEL do podłączenia CO2;1;152.03;187.00;SPEIDEL;;1;1;10;https://winohobby.biz/userdata/public/gfx/bf98223e01854ff9834309db886556d6.jpg;90|318|3;waz-bezzwrotny-speidel-do-podlaczenia-co2
ARE-S-168;1;FILLUP Esencja do alkoholu PARON COGNAC - 500ml;1;9.35;11.50;Zaprawki do alkoholu esencje STRANDS;Aromatyczny likier koniakowo-gruszkowy. Esencja typu FILLUP –oznacza, że w butelce mamy już odmierzoną przez producenta ilość esencji a naszym zadaniem jest dopełnić butelkę alkoholem o określonej zawartości %. Zaletą esencji FILLUP jest to, że otrzymujemy już gotową butelkę z firmą etykietką, butelkę którą możemy bez wstydu postawić na stole. Esencje typu FILLUP są tak przygotowane, że nie musimy już dodawać cukru do zrobienia likieru czy półsłodkiej wódki, wszystko jest już dodane przez producenta. Kupując esencje FILLUP, dla większego bezpieczeństwa podczas wysyłki, zalecamy wybierać wysyłkę kurierem! Instrukcja:butelkę z likierem dopełnić wódką 45% (lub % wedle uznania). Wstrząsnąć do całkowitego rozpuszczenia się, odstawić na 24h i gotowe. Dłuższe „przegryzanie” się trunku poprawia jego smak. Esencje sprowadzane są ze Szwecji - producent firma STRANDS. Dają naprawdę znakomite rezultaty, przeważnie nie do rozpoznania dla zwykłego konsumenta. Wykorzystując nasze zaprawki, każdy z nas ma niepowtarzalną okazję spróbowania alkoholi z różnych stron Świata, oszczędzając dużo pieniędzy. Dzięki tym zaprawkom, każdy z nas ma także okazję na zebranie w swoim barku zestawu alkoholi jak w prawdziwym DRINK BARZE! Jeżeli chcesz się dowiedzieć więcej o zaprawkach do alkoholu, jak je mieszać, polecamy do zapoznania się z naszym artykułem: Zaprawki do alkoholu.;1;1;1;https://winohobby.biz/userdata/public/gfx/05c78a1d9a1be5bf3057724f175f931d.jpg|https://winohobby.biz/userdata/public/gfx/f33b23bbd10c7811774d692f60f961cf.jpg;22|3;fillup-esencja-do-alkoholu-paron-cognac-500ml
